,0,model,days,apr,target,size,shares,bonds,bonds_pct
0,apr,,,,,,,,
1,model,,,,,,,,
2,days,,,,,,,,
3,shares,,,,,,,,
4,bonds,,,,,,,,
5,size,,,,,,,,
6,target,,,,,,,,
7,bonds_pct,,,,,,,,
146,,Yieldspace,70.0,0.04999999999999859,0.05,1000000.0,1000000.0,1008192.1124683743,0.5020396734997392
147,,Hyperdrive,70.0,0.04999999999999859,0.05,1000000.0,1000000.0,1008192.1124683743,0.5020396734997392
148,,Yieldspace,71.0,0.05000000000000047,0.05,1000000.0,1000000.0,1008078.9803242041,0.5020116191652232
149,,Hyperdrive,71.0,0.05000000000000047,0.05,1000000.0,1000000.0,1008078.9803242041,0.5020116191652232
150,,Yieldspace,72.0,0.050000000000000065,0.05,1000000.0,1000000.0,1007965.8771429217,0.5019835688528373
151,,Hyperdrive,72.0,0.050000000000000065,0.05,1000000.0,1000000.0,1007965.8771429217,0.5019835688528373
152,,Yieldspace,73.0,0.050000000000001175,0.05,1000000.0,1000000.0,1007852.8029131433,0.5019555225616514
153,,Hyperdrive,73.0,0.050000000000001175,0.05,1000000.0,1000000.0,1007852.8029131433,0.5019555225616514
154,,Yieldspace,74.0,0.04999999999999874,0.05,1000000.0,1000000.0,1007739.7576232343,0.5019274802906719
155,,Hyperdrive,74.0,0.04999999999999874,0.05,1000000.0,1000000.0,1007739.7576232343,0.5019274802906719
156,,Yieldspace,75.0,0.05000000000000086,0.05,1000000.0,1000000.0,1007626.7412619664,0.5018994420390048
157,,Hyperdrive,75.0,0.05000000000000086,0.05,1000000.0,1000000.0,1007626.7412619664,0.5018994420390048
158,,Yieldspace,76.0,0.04999999999999856,0.05,1000000.0,1000000.0,1007513.7538175733,0.5018714078056215
159,,Hyperdrive,76.0,0.04999999999999856,0.05,1000000.0,1000000.0,1007513.7538175733,0.5018714078056215
160,,Yieldspace,77.0,0.04999999999999908,0.05,1000000.0,1000000.0,1007400.7952788351,0.5018433775896276
161,,Hyperdrive,77.0,0.04999999999999908,0.05,1000000.0,1000000.0,1007400.7952788351,0.5018433775896276
162,,Yieldspace,78.0,0.04999999999999937,0.05,1000000.0,1000000.0,1007287.8656341444,0.5018153513900315
163,,Hyperdrive,78.0,0.04999999999999937,0.05,1000000.0,1000000.0,1007287.8656341444,0.5018153513900315
164,,Yieldspace,79.0,0.04999999999999875,0.05,1000000.0,1000000.0,1007174.9648720787,0.5017873292058862
165,,Hyperdrive,79.0,0.04999999999999875,0.05,1000000.0,1000000.0,1007174.9648720787,0.5017873292058862
166,,Yieldspace,80.0,0.049999999999998726,0.05,1000000.0,1000000.0,1007062.0929811848,0.5017593110362358
167,,Hyperdrive,80.0,0.049999999999998726,0.05,1000000.0,1000000.0,1007062.0929811848,0.5017593110362358
168,,Yieldspace,81.0,0.050000000000000794,0.05,1000000.0,1000000.0,1006949.2499500834,0.501731296880142
169,,Hyperdrive,81.0,0.050000000000000794,0.05,1000000.0,1000000.0,1006949.2499500834,0.501731296880142
170,,Yieldspace,82.0,0.0500000000000014,0.05,1000000.0,1000000.0,1006836.4357672333,0.5017032867366242
171,,Hyperdrive,82.0,0.0500000000000014,0.05,1000000.0,1000000.0,1006836.4357672333,0.5017032867366242
172,,Yieldspace,83.0,0.049999999999998136,0.05,1000000.0,1000000.0,1006723.650421105,0.5016752806047047
173,,Hyperdrive,83.0,0.049999999999998136,0.05,1000000.0,1000000.0,1006723.650421105,0.5016752806047047
174,,Yieldspace,84.0,0.0499999999999991,0.05,1000000.0,1000000.0,1006610.8939005308,0.5016472784834931
175,,Hyperdrive,84.0,0.0499999999999991,0.05,1000000.0,1000000.0,1006610.8939005308,0.5016472784834931
176,,Yieldspace,85.0,0.05000000000000171,0.05,1000000.0,1000000.0,1006498.1661940209,0.5016192803720192
177,,Hyperdrive,85.0,0.05000000000000171,0.05,1000000.0,1000000.0,1006498.1661940209,0.5016192803720192
178,,Yieldspace,86.0,0.050000000000000565,0.05,1000000.0,1000000.0,1006385.4672899704,0.5015912862692818
179,,Hyperdrive,86.0,0.050000000000000565,0.05,1000000.0,1000000.0,1006385.4672899704,0.5015912862692818
180,,Yieldspace,87.0,0.04999999999999761,0.05,1000000.0,1000000.0,1006272.7971770362,0.5015632961743444
181,,Hyperdrive,87.0,0.04999999999999761,0.05,1000000.0,1000000.0,1006272.7971770362,0.5015632961743444
182,,Yieldspace,88.0,0.04999999999999833,0.05,1000000.0,1000000.0,1006160.1558439995,0.5015353100862996
183,,Hyperdrive,88.0,0.04999999999999833,0.05,1000000.0,1000000.0,1006160.1558439995,0.5015353100862996
184,,Yieldspace,89.0,0.049999999999999496,0.05,1000000.0,1000000.0,1006047.5432793379,0.5015073280041639
185,,Hyperdrive,89.0,0.049999999999999496,0.05,1000000.0,1000000.0,1006047.5432793379,0.5015073280041639
186,,Yieldspace,90.0,0.05000000000000016,0.05,1000000.0,1000000.0,1005934.95947166,0.5014793499269845
187,,Hyperdrive,90.0,0.05000000000000016,0.05,1000000.0,1000000.0,1005934.95947166,0.5014793499269845
188,,Yieldspace,91.0,0.04999999999999973,0.05,1000000.0,1000000.0,1005822.4044095519,0.5014513758538024
189,,Hyperdrive,91.0,0.04999999999999973,0.05,1000000.0,1000000.0,1005822.4044095519,0.5014513758538024
190,,Yieldspace,92.0,0.0500000000000015,0.05,1000000.0,1000000.0,1005709.8780817227,0.5014234057836878
191,,Hyperdrive,92.0,0.0500000000000015,0.05,1000000.0,1000000.0,1005709.8780817227,0.5014234057836878
192,,Yieldspace,93.0,0.0499999999999995,0.05,1000000.0,1000000.0,1005597.3804766245,0.5013954397156458
193,,Hyperdrive,93.0,0.0499999999999995,0.05,1000000.0,1000000.0,1005597.3804766245,0.5013954397156458
194,,Yieldspace,94.0,0.05000000000000018,0.05,1000000.0,1000000.0,1005484.9115830935,0.5013674776487757
195,,Hyperdrive,94.0,0.05000000000000018,0.05,1000000.0,1000000.0,1005484.9115830935,0.5013674776487757
196,,Yieldspace,95.0,0.05000000000000028,0.05,1000000.0,1000000.0,1005372.4713896539,0.5013395195820981
197,,Hyperdrive,95.0,0.05000000000000028,0.05,1000000.0,1000000.0,1005372.4713896539,0.5013395195820981
198,,Yieldspace,96.0,0.050000000000000724,0.05,1000000.0,1000000.0,1005260.0598850067,0.5013115655146765
199,,Hyperdrive,96.0,0.050000000000000724,0.05,1000000.0,1000000.0,1005260.0598850067,0.5013115655146765
200,,Yieldspace,97.0,0.04999999999999916,0.05,1000000.0,1000000.0,1005147.6770576925,0.5012836154455332
201,,Hyperdrive,97.0,0.04999999999999916,0.05,1000000.0,1000000.0,1005147.6770576925,0.5012836154455332
202,,Yieldspace,98.0,0.05000000000000112,0.05,1000000.0,1000000.0,1005035.3228965892,0.5012556693737732
203,,Hyperdrive,98.0,0.05000000000000112,0.05,1000000.0,1000000.0,1005035.3228965892,0.5012556693737732
204,,Yieldspace,99.0,0.04999999999999934,0.05,1000000.0,1000000.0,1004922.9973900871,0.5012277272983789
205,,Hyperdrive,99.0,0.04999999999999934,0.05,1000000.0,1000000.0,1004922.9973900871,0.5012277272983789
206,,Yieldspace,100.0,0.050000000000000315,0.05,1000000.0,1000000.0,1004810.7005270721,0.5011997892184552
207,,Hyperdrive,100.0,0.050000000000000315,0.05,1000000.0,1000000.0,1004810.7005270721,0.5011997892184552
208,,Yieldspace,101.0,0.050000000000000856,0.05,1000000.0,1000000.0,1004698.432296139,0.501171855133033
209,,Hyperdrive,101.0,0.050000000000000856,0.05,1000000.0,1000000.0,1004698.432296139,0.501171855133033
210,,Yieldspace,102.0,0.05000000000000077,0.05,1000000.0,1000000.0,1004586.192685942,0.501143925041157
211,,Hyperdrive,102.0,0.05000000000000077,0.05,1000000.0,1000000.0,1004586.192685942,0.501143925041157
212,,Yieldspace,103.0,0.04999999999999997,0.05,1000000.0,1000000.0,1004473.9816851711,0.5011159989418794
213,,Hyperdrive,103.0,0.04999999999999997,0.05,1000000.0,1000000.0,1004473.9816851711,0.5011159989418794
214,,Yieldspace,104.0,0.050000000000001106,0.05,1000000.0,1000000.0,1004361.7992826217,0.5010880768342778
215,,Hyperdrive,104.0,0.050000000000001106,0.05,1000000.0,1000000.0,1004361.7992826217,0.5010880768342778
216,,Yieldspace,105.0,0.04999999999999884,0.05,1000000.0,1000000.0,1004249.6454667895,0.5010601587173537
217,,Hyperdrive,105.0,0.04999999999999884,0.05,1000000.0,1000000.0,1004249.6454667895,0.5010601587173537
218,,Yieldspace,106.0,0.04999999999999936,0.05,1000000.0,1000000.0,1004137.5202266092,0.5010322445902169
219,,Hyperdrive,106.0,0.04999999999999936,0.05,1000000.0,1000000.0,1004137.5202266092,0.5010322445902169
220,,Yieldspace,107.0,0.04999999999999926,0.05,1000000.0,1000000.0,1004025.4235506654,0.5010043344518886
221,,Hyperdrive,107.0,0.04999999999999926,0.05,1000000.0,1000000.0,1004025.4235506654,0.5010043344518886
222,,Yieldspace,108.0,0.04999999999999904,0.05,1000000.0,1000000.0,1003913.3554277014,0.5009764283014287
223,,Hyperdrive,108.0,0.04999999999999904,0.05,1000000.0,1000000.0,1003913.3554277014,0.5009764283014287
224,,Yieldspace,109.0,0.0500000000000014,0.05,1000000.0,1000000.0,1003801.3158465142,0.5009485261379091
225,,Hyperdrive,109.0,0.0500000000000014,0.05,1000000.0,1000000.0,1003801.3158465142,0.5009485261379091
226,,Yieldspace,110.0,0.05000000000000049,0.05,1000000.0,1000000.0,1003689.304795662,0.500920627960341
227,,Hyperdrive,110.0,0.05000000000000049,0.05,1000000.0,1000000.0,1003689.304795662,0.500920627960341
228,,Yieldspace,111.0,0.050000000000001044,0.05,1000000.0,1000000.0,1003577.3222640265,0.500892733767815
229,,Hyperdrive,111.0,0.050000000000001044,0.05,1000000.0,1000000.0,1003577.3222640265,0.500892733767815
230,,Yieldspace,112.0,0.050000000000001626,0.05,1000000.0,1000000.0,1003465.3682403025,0.5008648435593739
231,,Hyperdrive,112.0,0.050000000000001626,0.05,1000000.0,1000000.0,1003465.3682403025,0.5008648435593739
232,,Yieldspace,113.0,0.05000000000000059,0.05,1000000.0,1000000.0,1003353.4427131892,0.5008369573340608
233,,Hyperdrive,113.0,0.05000000000000059,0.05,1000000.0,1000000.0,1003353.4427131892,0.5008369573340608
234,,Yieldspace,114.0,0.05000000000000066,0.05,1000000.0,1000000.0,1003241.5456715125,0.5008090750909486
235,,Hyperdrive,114.0,0.05000000000000066,0.05,1000000.0,1000000.0,1003241.5456715125,0.5008090750909486
236,,Yieldspace,115.0,0.04999999999999985,0.05,1000000.0,1000000.0,1003129.6771039839,0.5007811968290812
237,,Hyperdrive,115.0,0.04999999999999985,0.05,1000000.0,1000000.0,1003129.6771039839,0.5007811968290812
238,,Yieldspace,116.0,0.050000000000001134,0.05,1000000.0,1000000.0,1003017.8369994632,0.5007533225475376
239,,Hyperdrive,116.0,0.050000000000001134,0.05,1000000.0,1000000.0,1003017.8369994632,0.5007533225475376
240,,Yieldspace,117.0,0.050000000000000745,0.05,1000000.0,1000000.0,1002906.0253466058,0.500725452245345
241,,Hyperdrive,117.0,0.050000000000000745,0.05,1000000.0,1000000.0,1002906.0253466058,0.500725452245345
242,,Yieldspace,118.0,0.04999999999999939,0.05,1000000.0,1000000.0,1002794.2421341916,0.5006975859215608
243,,Hyperdrive,118.0,0.04999999999999939,0.05,1000000.0,1000000.0,1002794.2421341916,0.5006975859215608
244,,Yieldspace,119.0,0.05000000000000068,0.05,1000000.0,1000000.0,1002682.4873511379,0.5006697235752747
